title,link,preview
"중기 R&D 지원액 1조4550억...AI 빅데이터, 스마트센서 신설",http://www.zdnet.co.kr/view/?no=20200107171334,"올해 중소기업을 위한 연구개발(R&D) 지원액이 역대 최대 규모인 1조 4550억에 달한다. 지난해(1조1010억)보다 3500억 정도 늘었다. 인공지능(AI) 등 4차산업혁명 분야가 신설됐고, 소부장(소재, 부품, 장비) 분야 기술자립(1186억원)에 중점을 둔다. 또 다양한 R&D 수요 충족을 위해 규제해결형 등 18개(2807억원) 연구개발 사업도 신설했다. 지원 방식도 개선했다. 상향식(바텀업) 사업 지원을 원칙적으로 금하고, 최대 수행과제수(졸업제)를 개선, 단독형 R&D의 경우 총 4회까지만 할 수 있다. 동시 수행 과제는 현재 2개까지 할 수 있는데 앞으로는 단독형 R&D는 1개만 가능하다. 단, 단독형+협력형, 협력형+협력형 과제는 2개까지 할 수 있다. 과제 신청시 내야 하는 서류는 현재 5종(사업계획서, 각종 동의서 등)에서 1종(사업계획서)으로 대폭 줄였다. 기존의 출연과 보조금 지원방식에서 벗어 나 투자방식 R&D를 처음으로 도입해 '랩 투 마켓 펀드(Lab to Market Fund)' 500억을 조성, 지원한다. 핵심기술이지만 범용성이 낮아 기술개발 수요가 적은 경우 R&D 성공시 투자비용과 인센티브를 지원하는 후불형 R&D도 신설했다. 중기부는 7일 숭실대 한경직기념관에서 열린 '찾아가는 정책설명회'에서 이 같은 내용의 '2020년 중소기업 R&D 지원 개요'를 설명했다. 이에 따르면 중소기업 R&D 지원은 ▲단독형 ▲협력형 ▲정책목적형 등 크게 3가지로 구분, 이뤄진다. 단독형 R&D는 ▲창업성장기술개발(4598억) ▲중소기업기술혁신개발(2441억) 등 2개가 대표적이다. 협력형 R&D는 ▲산학연 콜래보 R&D(316.6억), ▲테크브릿지활용 상용화(125억) ▲중소기업상용화기술개발(2297억) ▲공정품질기술개발(395.5억) ▲기술지주회사 자회사 R&BD(72억) ▲중소기업선도연기관(62.9억) 등 7개가 대표적이다. 정책목적형 R&D는 AI기반 고부가 신제품(149.3억)을 비롯해 ▲기술규제해결형 기술개발(95억) ▲지역중소기업 공동수요(62.6억) ▲중소기업 연구인력지원(368억) ▲지역특화산업육성+R&D(954억) ▲기반 서비스 개발(62.5억) ▲해외인증규격 적합제품(69.8억) ▲예비가젤형 기술개발(72억) ▲연구기반 활용(132억) ▲국가융복합단지 지역기업(125억) ▲스마트센서 선도 프로젝트(45억) ▲미세먼지 저감실용화(102.5억) ▲중소기업기술사업화 역량(42.7억) ▲중소기업 R&D역량제고(138.1억) ▲현장수요형 스마트공장(117억) ▲해외원천기술 사용화(20.5억) ▲소상공인 생활혁신형(33.3억) 등 15개 사업이 대표적이다. 한편 중기부는 이날 설명회보다 하루 앞선 6일 '2020년 중소기업 연구개발사업 통합 공고'를 발표했다. 올해 중기부 R&D 예산 특징은 ▲ 4차 산업혁명 신산업 창출 지원 ▲소재·부품·장비 분야 기술 자립 지원 ▲혁신과 도전을 견인할 다양한 R&D 사업 신설 ▲R&D 지원방식의 전략성 강화 등 4가지다."
"[CES 2020] SK하이닉스, 4차 산업혁명 이끌 혁신 메모리 공개",http://www.zdnet.co.kr/view/?no=20200107163303,"SK하이닉스가 세계 최대 규모의 첨단 기술 전시회 CES에서 4차 산업혁명 시대를 주도할 혁신적인 메모리 솔루션을 선보인다. 7일 SK하이닉스는 오는 10일(현지 시각)까지 미국 라스베이거스에서 열리는 'CES(Consumer Electronics Show) 2020'에 참가해 ▲인공지능 ▲증강·가상현실 ▲오토모티브 ▲사물인터넷 ▲ ▲5세대 이동통신 기술 등 4차 산업혁명 시대의 핵심기술과 관련된 첨단 반도체 솔루션을 공개할 예정이라고 밝혔다. 특히 이석희 SK하이닉스 대표이사(사장)와 주요 임원들은 CES 행사 기간 중 글로벌 데이터센터 및 제조업체들과 만나 다양한 협력방안을 모색할 예정이다. SK하이닉스는 이번 CES 전시부스의 콘셉트를 '메모리 중심의 세상'으로 정하고, 방대한 양의 데이터가 활용되는 미래 도시를 형상화한 모습으로 꾸몄다. 주요 전시제품으로는 ▲128단 4D 낸드플래시 기반의 소비자용 솔리드 스테이트 드라이브(SSD) ▲HBM2E(High Bandwidth Memory Extension·초고속 고대역폭 메모리) ▲서버용 DDR5(Double Data Rate 5) D램 ▲모바일용 LPDDR4X(Low Power Double Data Rate 4X) D램 ▲eMMC(embedded Multi Media Card) 5.1 ▲모바일용 LPDDR5 D램 ▲UFS(Universal Flash Storage) ▲CMOS(Complementary Metal Oxide Semiconductor) 이미지센서 등을 선보였다. 이중 128단 4D 낸드 기반의 SSD는 업계 최고 수준의 안정성과 성능을 확보했다는 게 SK하이닉스의 설명이다. SK하이닉스에 따르면 이 제품의 쓰기 및 읽기 속도는 작년 8월 SK하이닉스가 출시한 SATA 규격의 소비자용 솔리드 스테이트 드라이브 대비 6배 이상 빠르다. SK하이닉스 관계자는 ""올해 128단 4D낸드 기반의 테라바이트급 고성능 낸드 솔루션과 3세대 10나노급(10나노미터 초반) D램의 양산을 본격 시작한다""며 ""고객들이 요구하는 경쟁력 높은 제품들을 적기에 출시해 시장 변화에 적극 대응할 것""이라고 강조했다."
"효성인포, 스마트시티 통합플랫폼 시장 적극 공략",http://www.zdnet.co.kr/view/?no=20200107144729,"효성인포메이션시스템(대표 정태수)은 통합 인프라 환경부터 지능형 영상 분석까지 솔루션을 갖추고 스마트시티 통합플랫폼 사업을 적극적으로 펼칠 계획이라고 7일 밝혔다. 현재 대부분의 지자체에서는 CCTV 영상 통합관제 시스템 구축이 완료됐다. 통합된 영상을 분석하기 위한 선별관제 시스템과 영상을 활용한 서비스를 제공하는 스마트시티 통합플랫폼 사업에 대한 관심이 높은 상황이다. 스마트시티 통합플랫폼은 도시의 주요 정보를 유기적으로 연계해 관리 효율성을 높이고 112, 119 등 시민안전 5대 연계 서비스를 지원한다. 효성인포메이션시스템은 지자체가 영상 데이터를 통해 효과적인 데이터 기반 의사결정을 내릴 수 있도록 지능형 영상분석 솔루션(HVA), 통합 상황 인지 솔루션(HVS), 지능형 얼굴인식 솔루션(LFM), 플랫폼과 더불어 모든 시스템을 안정적으로 운영하는 영상전용 컨버지드 플랫폼(HVMP)을 지원한다. 효성인포메이션시스템은 HVMP를 주요 중앙부처 및 각 지자체의 통합관제센터와 공공사업에 연달아 공급했다. 통합관제시스템을 운영 중인 지자체에서는 신규 인프라 도입 없이도 HVMP에 필요 자원만 추가해 스마트시티 통합플랫폼을 구축할 수 있다는 게 효성인포메이션시스템 측 설명이다. HVMP는 유연한 확장성을 기반으로 가상화 기반의 통합된 인프라 환경 구현을 지원한다. 안정적인 인프라를 구성하고 영상 데이터와 도시 데이터를 통합해 영상관제 플랫폼을 구축, 관리할 수 있다. 특히 가상화 기반 인프라 환경은 시스템의 가용성과 안정성을 극대화시키고, 향후 클라우드 환경으로의 전환이 용이하다는 점이 장점이다. 또한 HVMP는 단일 시스템 기준 최대 확장성을 50% 이상 끌어올리며, 단일 랙만으로 최대 4천채널 이상의 감시 시스템을 구축할 수 있게 한다. 기존 인프라와의 통합 운영을 가능하게 하는 다양한 솔루션 및 이기종 장비의 성능을 통합 관리할 수 있는 관리 솔루션을 제공한다. 효성인포메이션시스템은 단일 기술지원을 통한 유지관리 및 신속한 장애대응을 지원한다. 오는 3월에는 일산 킨텍스에서 개최되는 세계보안 엑스포(SECON)에 참가해 직접 HVMP를 시연하고 스마트시티 포트폴리오 활용 전략을 소개할 예정이다. 정태수 효성인포메이션시스템 대표는 ""각종 데이터의 안정적인 보관과 시스템 변화에 유연하게 대응하기 위한 통합 인프라 환경 구축은 스마트시티를 완성하는 중요한 과제""라며 ""각 지자체 및 기관과의 협력을 강화하며 스마트시티를 구성하는 인프라와 서비스의 지능화를 통한 시민 삶의 질 향상을 위해 노력할 계획""이라고 말했다."
[CES 2020] LG 박일평 “AI 발전할수록 고객의 더 나은 삶 지향해야”,http://www.zdnet.co.kr/view/?no=20200107053704,"[라스베이거스(미국)=권혜미 기자] “인공지능 발전 단계는 기술 자체의 발전에만 초점을 맞추지 않고 기술과 함께 인간의 경험이 어떻게 달라지는가에 대한 방향성을 제시합니다.” LG전자는 6일(현지시간) 미국 라스베이거스 만달레이베이 호텔에서 글로벌 프레스 컨퍼런스를 열고 이같이 밝혔다. 이날 행사에서 LG전자 CTO(최고기술책임자) 박일평 사장은 캐나다 인공지능 솔루션업체인 엘레멘트 AI와 함께 개발한 '인공지능 발전 단계'를 발표했다. LG전자가 소개한 인공지능 발전 단계는 △1단계 효율화 △2단계 개인화 △3단계 추론 △4단계 탐구 등 총 4단계로 구성돼 있다. LG전자는 특히 단계별로 인공지능 기술 발전의 기준을 정의함으로써 인공지능이 나아갈 올바른 방향을 제시했다. 1단계의 인공지능은 지정된 명령이나 조건에 따라 제품을 동작시킨다. 2단계부터는 사용자의 행동을 분석해 패턴을 찾고 사용자를 구분할 수 있다. 3단계는 여러 접점의 데이터를 분석해 행동의 원인과 결과를 분석한다. 4단계는 인공지능 스스로 가설을 세우고 검증해 더 나은 솔루션을 제안한다. 엘레멘트 AI 장 프랑스와 가녜 CEO는 “오늘 발표는 인공지능이 향후 우리 인간의 삶에 어떤 영향을 미칠 것이며 어떤 방향으로 나아가야 하는가에 대한 활발한 논의를 촉발할 것으로 기대한다”고 말했다. 박일평 사장은 “LG 씽큐와 같은 인공지능의 의미 있는 성장을 위해 산업 전반에 명확하고 체계화된 로드맵이 필요하다”며 “올바른 기술 개발의 방향성을 제시하고 궁극적으로는 고객의 더 나은 삶을 만들어 갈 것”이라고 강조했다. 딥러닝 분야 세계적인 석학인 요슈아 벤지오 몬트리올대 교수 겸 밀라 연구소 창업자는 “우리는 개인과 사회에 이로운 방향으로 인공지능 기술을 발전시킬 책임이 있다”며 인공지능 발전 단계를 제시한 LG전자를 지지했다. 이날 LG전자는 인공지능 LG 씽큐로 더 편리하고 스마트해진 가전 및 서비스, 올레드 TV를 포함한 '리얼 8K' TV 신제품 등도 소개했다. LG전자는 올 3월부터 북미시장에서 본격 시작할 '프로액티브 서비스'를 상세하게 소개했다. 이 서비스는 사물인터넷, 기반의 인공지능 기술을 활용해 고객이 제품을 사용하는 패턴을 학습하고 제품의 상태나 관리방법을 LG 씽큐 앱, 이메일, 문자 등을 통해 알려준다. LG전자는 인공지능 DD모터를 탑재한 트윈워시 신제품도 공개했다. 이 제품은 의류 무게를 감지한 후 인공지능이 약 2만개의 빅데이터를 활용해 의류 재질을 판단한다. 이어 드럼세탁기는 LG전자만의 세탁방법인 6모션 가운데 최적의 모션을 선택한다. '리얼 8K' TV에 대해서도 강조했다. LG전자는 다양한 라인업의 8K TV 신제품을 선보였다. 8K 올레드 TV인 88·77형 LG 시그니처 올레드 8K 뿐만 아니라 8K LCD TV인 75형 LG 나노셀 8K도 전시했다. 이들 제품은 국제 표준 기준과 미국 CTA(소비자기술협회)의 '8K UHD' 기준을 모두 충족해 선명한 8K 해상도를 구현하는 것이 특징이다."
"[CES 2020] 삼성電, AI·5G 기술로 '경험의 시대' 연다",http://www.zdnet.co.kr/view/?no=20200104145932,"삼성전자가 7일(현지시간)부터 10일까지 미국 라스베이거스에서 열리는 세계 최대 첨단기술 전시회 'CES 2020'에서 소비자들의 일상을 변화시킬 미래 라이프스타일 솔루션을 대거 공개한다. 삼성전자는 참가업체 중 가장 넓은 3368㎡(약 1021평) 규모의 전시관을 마련하고 AI·5G·IoT 등 최신 기술을 적용한 커넥티드 리빙 솔루션과 시장을 주도할 혁신 제품을 선보인다. ■ 커넥티드 리빙, 개인-홈-도시로 확장 삼성전자 전시관은 6일(현지시간) 김현석 대표이사 사장(CE부문장)이 참가하는 기조연설과 연계해 삼성의 기술이 소비자들의 삶에 어떤 경험과 변화를 줄 수 있는지를 개인-홈-도시로 구성해 보여준다. 삼성전자는 작년 CES에서 첫선을 보인 '삼성봇' 플랫폼을 확대해 새로운 콘셉트의 로봇을 선보인다. 이번 CES에서는 삼성이 추구하는 인간 중심적이고 개인의 라이프스타일에 최적화된 AI를 탑재한 로봇을 선보일 예정이며, 6일 진행되는 기조연설에서 전격 공개한다. 삼성전자는 이 밖에 삼성봇 에어, 삼성봇 셰프와 스마트 기능이 강화된 QLED TV, 패밀리허브 냉장고, 다양한 갤럭시 기기 등을 연계해 미래 AI 홈의 비전을 제시한다. ■ '프로젝트 프리즘'…라이프스타일 가전 대거 공개 삼성전자는 올해 '프로젝트 프리즘'에 기반한 라이프스타일 가전을 대폭 강화한다는 전략 하에 CES 2020에서 밀레니얼 세대를 겨냥한 다양한 신제품을 선보인다. 5년 연속 CES 혁신상을 받은 2020년형 패밀리허브 냉장고는 한 단계 진화한 '푸드 AI'기능을 중심으로 소개된다. 또한 삼성전자는 개인 취향과 경험을 중시하는 소비 트렌드에 맞춰 와인, 맥주, 화장품 등을 각각 최적의 온도로 관리해 주는 '큐브 냉장고'와 신발의 냄새와 습기를 관리해 주는 '신발관리기' 등 새로운 콘셉트의 제품도 선보인다. ■ 제로베젤 TV 시대 연다…'QLED 8K'·'더 월' 공개 삼성전자는 이번 CES에서 한 차원 진화한'QLED 8K','라이프스타일 TV', '더 월'을 공개하고 15년 연속 세계 TV 시장 1위를 향한 첫걸음을 내디딘다. 2020년형 QLED 8K는 화질뿐만 아니라 사운드까지 새로운 AI 기술을 대거 적용하고, 베젤이 없는'인피니티'디자인을 선보여 TV의 새로운 기준을 제시한다. QLED 8K 신제품은 화질을 업스케일링 해주는 'AI 퀀텀 프로세서'에 딥러닝 기술을 추가로 적용해 영상의 디테일을 더욱 섬세하게 표현하고, 풍부하고 현장감 있는 사운드 구현을 위해 'OTS+', 'Q-심포니', 'AVA'등 새로운 기능들을 대거 탑재한다. 삼성전자는 '마이크로 LED'기반의 더 월 경험을 소비자들의 일상 공간으로 확산하기 위한 가정용 라인업도 대거 선보인다. 마이크로 LED는 모듈러 기반으로 뛰어난 화질은 물론 베젤, 사이즈, 화면비, 해상도 등에 제약이 없는 특징을 가지는 차세대 디스플레이다. ■ 2020년 '갤럭시' 신제품 한자리에 삼성전자는 5G 갤럭시 스마트폰 전 라인업을 전시하고 방문객들이 5G가 제공하는 다양한 혜택을 체험할 수 있도록 전시관을 조성한다. 또한, 방문객들은 올해 출시 예정인 다양한 신제품을 한자리에서 만날 수 있다. △갤럭시 S10 라이트 △갤럭시 노트10 라이트 △갤럭시 A 시리즈 신규 모델 갤럭시 A71 △갤럭시 A51 △세계 최초 5G 태블릿 PC 갤럭시 탭 S6 5G 등을 새롭게 선보인다. ■ 5G 기반 '디지털 콕핏 2020'으로 안전하고 즐거운 운전 환경 구현 '디지털 콕핏 2020'은 삼성의 자동차용 프로세서인 '엑시노스 오토 V9' 칩셋을 탑재해 차량 내 8개의 디스플레이와 8개의 카메라를 효율적으로 구동하고 안전 운행과 다양한 인포테인먼트 경험을 지원한다. 또한, 마이크로 LED를 적용한 후방 화면을 설치해 라이트 역할뿐 아니라 운전자의 상황에 맞는 메시지를 전달할 수 있게 했다. 삼성전자는 5G 기반의 'TCU(차량용 통신 장비)'를 전시해 탑승자가 주행 중에도 고화질 콘텐츠와 HD맵을 실시간으로 다운로드 받을 수 있고, 끊김 없이 화상 회의를 하거나 게임 스트리밍을 즐기는 시연도 진행한다. ■ AI·5G·전장· 특화 메모리 솔루션 제시 삼성전자는 AI·5G·전장·빅데이터 등 미래 유망 분야에 특화된 다양한 메모리 제품을 선보인다. CES 2020 혁신상을 받은 SSD 3종 ▲PCIe 4.0 인터페이스 기반 M.2 규격의 '980 PRO 1TB' ▲지문인식 기능이 탑재돼 보안 편리성이 강화된 '포터블 SSD T7 터치 1TB' ▲V낸드 머신러닝 기술이 적용된 'PCIe Gen4 NVMe SSD 30.72TB(PM1733)' 등이 대표적이다."
"빗썸, 블록체인 기술연구소 설립",http://www.zdnet.co.kr/view/?no=20200106085619,"암호화폐 거래소 빗썸(대표 최재원)은 블록체인 기술 및 거래소 시스템 고도화를 위해 자체 기술연구소를 설립했다고 6일 밝혔다. 빗썸은 연구소 조직을 ▲퍼블릭 블록체인 트랜잭션 분석 및 암호화폐 프라이빗 키 보안 강화를 위한 시스템 구조 설계 등을 연구하는 '블록체인 연구팀' ▲고성능 매칭 시스템을 위한 아키텍처 설계 연구를 진행할 '아키텍처 연구팀' ▲암호화폐 거래소 백엔드 모듈의 고도화 및 매칭 엔진 고도화 등을 맡은 '개발 연구팀' 등으로 나눴다. 연구소는 사내 워킹그룹 포함해 30여명으로 구성됐다. 연구과제에 대한 자문과 기술 지원을 위해 IT 전문가, 교수 등 외부 인력이 추가 합류할 예정이다. 빗썸은 연구소 설립을 통해 블록체인 기반 글로벌 종합 금융 플랫폼 기업으로 도약하는데, 기술적 토대를 세운다는 계획이다. 빗썸 관계자는 ""국내 암호화폐 거래소 중 블록체인과 암호화폐 전문 연구소를 갖춘 곳은 사실상 빗썸이 유일하다""며 ""이번 연구소 설립을 계기로 빗썸은 암호화폐 거래 플랫폼을 넘어 블록체인, , 암호화, 보안, 고성능 트레이딩 시스템 등 첨단 IT기술이 집약된 블록체인 및 가상자산 서비스 선도기업으로 거듭날 계획이다""고 말했다."
산업통상자원 R&D 전략기획단장에 나경환 단국대 산학부총장,http://www.zdnet.co.kr/view/?no=20200105103837,"산업통상자원부는 5일 제4기 산업통상자원 R&D 전략기획단장에 나경환 단국대학교 산학부총장을 선임했다. 나 단장은 2년 임기동안 비상근으로 근무하면서 산업부 R&D 투자와 기획방향을 제시하고 새로운 R&D 정책 발굴과 제언 등의 역할을 맡는다. 산업부 관계자는 “최근 인공지능, 빅데이터로 대변되는 4차 산업혁명 등으로 산업구조의 급격한 전환기에 정부 R&D 투자방향과 방식에도 혁신이 필요한 시점에서 정부 R&D 시스템에 대한 이해가 높고 연구계와 학계, 정부 등 다양한 분야에서 전문성과 식견을 겸비한 나경환 부총장이 이 같은 과제를 해결할 충분을 능력을 갖췄다”고 평가했다. 나 단장은 “최근 급속한 기술혁신 환경 변화에 효율적으로 대응하기 위해서는 기존 R&D 관리시스템의 경직성, 단절성 등을 조기에 극복하는 것이 매우 시급하다”며 “앞으로 산업부 R&D를 통해 기업이 실질적으로 경제적 성과를 창출할 수 있도록 관련 시스템 정비와 더불어 대학과 공공연구소를 포함한 협력과 연계의 새로운 산업기술혁신체제 구축을 위해 노력하겠다”고 밝혔다. 산업부는 제4기 전략기획단 체제 구축을 위해 매니징디렉터(MD) 선임 절차를 진행 중이다. MD선임이 마무리 되는대로 2월 중 제4기 전략기획단 체제를 정식 출범할 예정이다. 한편, 산업부는 단장 선임을 위해 지난해 11월 추천위원회를 구성, 신임 단장 선임절차를 진행해 두 달간의 공모와 추천 과정을 거쳤다."
"LGU+ “IPTV 가입 이유, 키즈 콘텐츠 때문”",http://www.zdnet.co.kr/view/?no=20200104214037,"LG유플러스(대표 하현회)는 IPTV 서비스인 U+tv 이용자 중 절반이 키즈 콘텐츠를 이용하기 위해 가입한 것으로 조사됐다고 5일 밝혔다. LG유플러스가 지난해 U+tv를 이용 중인 750가구를 대상으로 서비스 가입 이유를 묻는 설문을 한 결과, 키즈 콘텐츠인 '아이들나라'를 위해 가입했다고 응답한 가구는 47%로 나타났다. '가입 혜택' 때문이라고 응답한 비중은 44%로 2위를 기록했고, 모바일 '결합할인'으로 응답한 비중은 33%로 각각 조사됐다. 키즈 콘텐츠에 대한 호평은 해지율을 통해서도 확인된다. 실제로 아이들나라를 월 5회 이상 이용한 가입자의 해지율은 5회 미만으로 이용한 가입자에 비해 절반 수준으로 확인됐다. 전문 조사기관에 의뢰하여 조사한 결과 온라인상 언급량 56%, 내용 호감도 46.9%로 IPTV 키즈 서비스 중 매우 높은 인기를 얻고 있는 것으로 나타났다. 설문 응답자 중 5~7세 자녀를 둔 부모는 ▲ 유튜브 광고, 유해 콘텐츠 등 시청 고민을 유튜브 키즈로 해소 ▲타사 대비 다양한 무료 콘텐츠 ▲대형 출판사 전집 위주가 아닌 베스트셀러를 구연동화 작가가 직접 읽어주는 리딩 방식 ▲누리 과정의 연령대별 과정별 월별 체계적 구성 등을 아이들나라의 장점으로 꼽았다. LG유플러스는 올해 아이들나라의 AR 콘텐츠를 대폭 강화하는 한편, 케이블TV에도 아이들나라를 적용하여 LG헬로비전 이용자도 특화 서비스를 이용할 수 있도록 시스템을 개편할 방침이다. LG유플러스 관계자는 “부모들이 가장 많이 언급하고 만족하는 키즈 서비스 1위로 지속 자리매김할 것”이라고 밝혔다."
"박영선 장관 ""스마트 대한민국 만들고 3세대 글로벌 기업 만드는데 올해 방점""",http://www.zdnet.co.kr/view/?no=20200103155045,"""중기부의 올해 목표는 디지털 경제로의 대전환, 스마트 대한민국이다. 스마트공장, 스마트상점, 스마트서비스에 주력하고 3세대 글로벌 기업을 만드는데 올해 중기부가 방점을 찍겠다."" 박영선 중소벤처기업부(중기부) 장관은 3일 서울 강남역 인근 스마트상점 '라운지엑스'에서 올해 첫 간부회의를 개최, 이 같이 강조했다. '라운지엑스'는 로봇 바리스타와 무인 로봇 서빙 등 ICT 기술을 집약한 미래형 레스토랑으로, 푸드테크 스타트업인 '육월'이 운영하고 있다. 라운지엑스에서 서빙하는 로봇기술은 2017년 중기부가 주관하는 'K-스타트업 그랜드챌린지' 대회에서 수상한 베어로보틱스가 제공했다. 이날 박 장관은 중기부 주요 실국장들과 함께 로봇 바리스타와 로봇 서빙을 체험한 후 '2020년 신년 정책 구상'을 발표했다. 박 장관은 그동안의 장관 신년사를 형식적으로 배포한 것에서 벗어나, 장차관과 실국장이 모두 모인 신년 첫 간부회의를 외부 공개된 자리에서 진행, 눈길을 끌었다. 박 장관은 모두 발언에서 “지난해 우리는 작은 것들이 연결됐을 때 얼마나 큰 힘을 발휘하는지 잘 보았다. 이제 우리는 '연결된 힘'을 바탕으로 디지털경제로의 대전환이라는 관점의 이동이 필요하다""고 강조했다. 이날 박 장관은 중기부가 올해 추진할 5대 중점 정책으로 ▲스마트공장 확산, 스마트서비스 도입, 스마트 상점 도입 ▲1인 소상공인 미디어 플랫폼 구축 및 콘텐츠 제작 지원 등 온라인 활용 역량 강화 ▲자상한 기업(자발적 상생협력 기업)에 대한 동반성장 평가 우대 및 세제혜택 제공 등으로 지속적 확산, 중소기업 복지 플랫폼 구축, 공공조달 상생협력 제도 도입 ▲규제자유특구 추가 지정(작년 14곳) ▲2022년 20개 유니콘 배출을 위한 'K-유니콘 프로젝트' 시행 등 '벤처 4대 강국' 진입 등을 제시했다. 3세대 글로벌 기업과 관련 박 장관은 ""삼성,현대와 같은 1세대와 네이버, 다음 같은 2세대에 이어 4차산업혁명 시대를 맞아 3세대 글로벌 기업이 탄생되어야 한다""면서 ""3세대 글로벌 기업을 만드는데 올해 중기부가 방점을 찍겠다""고 강조했다. 한편 박 장관 발표 후 차정훈 중기부 창업벤처실장이 중기부가 올해 역점을 둘 '스마트 정책'을 보다 구체적으로 발표했다. 발표에서 박 실장은 ▲2022년까지 스마트공장 3만개 보급과 데이터, 5G 및 AI를 기반으로 한 스마트공장 고도화 추진 ▲IoT, AI, 분석을 바탕으로 제품 문제, 부품 교체 시기 등을 사전에 알려주고 개선하는 스마트 서비스 도입 ▲ 20개 시범상점가에 스마트 오더, 스마트 미러, 스마트 맵 등 4차 산업혁명 기술을 접목한 스마트상점 조성 등을 추진하겠다고 설명했다."
빅데이터 플랫폼 10개 상반기중 연계...데이터 1400여종 개방도,http://www.zdnet.co.kr/view/?no=20200103141634,"정부가 지난해 구축한 10개 분야 빅데이터 플랫폼의 1400여종 데이터를 오는 1~2월말까지 순차적으로 전면 개방한다. 다양한 혁신서비스 발굴을 위한 것이다. 또10개 빅데이터 플랫폼을 연계하는 공통 기준도 올 상반기중 마련한다. 3일 과학기술정보통신부(과기정통부)는 그 동안 구축한 데이터 인프라를 기반으로 양질의 데이터 개방과 데이터 활용을 확대, 데이터 경제 활성화를 본격 추진한다고 밝혔다. 이를 위해 10개 분야 빅데이터 플랫폼 중 6개(문화, 헬스케어, 지역경제, 교통, 산림, 중소기업)를 오는 1월말이나 2월초까지 개방한다. 앞서 유통, 금융, 통신, 환경 등 4개 분야 빅데이터 플랫폼은 지난해 12월 순차적으로 개소됐다. 일례로 금융 플랫폼의 경우 지난해 12월 12일 개소, 이에 따라 카드 소비, 보험 및 대출 상품, 감정 평가 등 80여종의 데이터가 개방, 지역 상권별 예비창업자의 성공가능성을 예측하는 서비스가 가능해졌다. 또 지난해 12월 16일 통신 플랫폼이 오픈함에 따라 유동인구, 상주인구 등 인구 데이터 110여종이 개방됐고, 유동인구를 활용한 최적의 부동산 입지선정 및 컨설팅 서비스를 선보일 수 있게됐다. 나머지 문화, 헬스케어, 지역경제, 교통, 산림, 중소기업 등 6개 분야 빅데이터 플랫폼도 1월말~2월초 순차적으로 오픈된다. 과기정통부는 신뢰성 있는 양질의 데이터 유통을 위해 이들 10개 빅데이터 플랫폼을 연계하는 공통 기준을 상반기 중 마련, 적용할 계획이다. 또, 고품질 데이터 확보를 위해 다양한 데이터를 보유한 민간 기업 및 기관의 참여확대도 모색한다. 이외에 데이터 경제 활성화를 위해 올해 중소 및 벤처기업이 데이터 구매나 가공서비스를 제공 받을 수 있게 데이터 바우처를 지원, 다양한 분야에서 새로운 서비스를 창출시킬 방침이다. 특히 정보주체 주도 하에 개인데이터를 활용하는 '마이데이터(MyData) 사업'은 공공과 금융 분야에서 다양한 서비스들이 시작될 전망이다. 임정규 과기정통부 빅데이터진흥과장은 ""데이터 분야 스타트업을 발굴 육성하고, 우수 데이터 활용 스타트업을 대상으로 데이터 특화 컨설팅 및 투자유치 등 실질적 지원도 확대하겠다""면서 ""국회에 계류 중인 데이터3법이 통과되면 활용 가능한 데이터 종류가 다양해지고 데이터 가치가 제고, 이를 기반으로 다양한 분야에서 새로운 혁신 서비스 창출이 활성화 될 것으로 기대한다""고 밝혔다. 한편, 지난해 데이터 경제 활성화 차원에서 추진한 데이터 사업 참여기업인 '디플리'와 '더큰나눔엠티엔'이 오는 7일부터 미국 라스베이거스에서 열리는 'CES(Consumer Electronics Show) 2020'에 참가, 데이터 기반 서비스를 선보인다. 디플리는 아기 울음소리를 분석해 아기 상태를 알려주는 인공지능 기반 베이비시터 앱 'WAAH'를 개발했고, 더큰나눔엠티엔은 지능형 장비를 택시에 장착해 도로주변 유동인구와 미세먼지, 유해환경 데이터 등 스마트시티 데이터를 수집 및 분석하는 플랫폼을 개발, 전시한다."
